transcript_id,CM_D0_R1,CM_D0_R2,CM_D18_R1,CM_D18_R2,CM_D3_R1,CM_D3_R2
ENST00000655252.1,3,13,1,0,3,12
MSTRG.6.2,933,887,2286,1174,1489,1937
MSTRG.6.3,132,279,72,339,114,199
ENST00000612080.1,9,10,27,13,12,32
ENST00000671208.1,0,0,5,0,0,0
ENST00000661463.1,0,0,0,0,0,0
ENST00000446136.1,0,0,3,31,4,0
ENST00000432963.1,0,0,0,7,0,0
ENST00000427857.1,0,0,0,4,0,0
ENST00000415481.1,0,1,3,23,0,0
ENST00000635557.1,0,0,0,0,0,0
ENST00000607769.1,0,0,0,8,0,0
MSTRG.26.3,0,42,8,108,39,216
ENST00000448179.1,0,0,0,40,15,64
ENST00000398216.2,0,0,0,0,0,1
ENST00000417705.1,0,0,0,0,0,42
ENST00000432961.1,0,0,0,0,0,4
MSTRG.26.2,49,31,221,96,52,334
MSTRG.26.4,41,51,241,313,138,591
ENST00000609207.1,19,11,389,445,585,2444
ENST00000624697.4,0,0,45,134,0,72
ENST00000624652.1,0,0,0,0,0,0
ENST00000423619.2,0,0,2,1,0,0
MSTRG.22.3,0,0,8,13,0,0
MSTRG.24.1,0,1,23,23,0,0
ENST00000458555.1,0,5,17,8,0,0
ENST00000649529.1,277,437,58,229,55,335
MSTRG.28.1,0,4,152,91,318,1112
MSTRG.28.2,0,0,5,74,79,357
MSTRG.28.3,0,0,0,0,17,69
MSTRG.29.1,0,11,199,0,72,3250
MSTRG.29.2,0,0,239,0,0,7
ENST00000616016.5,0,0,15,467,287,1039
ENST00000618323.5,0,0,22,314,585,1133
ENST00000437963.5,0,0,3,8,3,20
ENST00000342066.8,0,0,0,0,0,554
ENST00000616125.5,0,0,0,0,0,0
ENST00000617307.5,0,0,0,0,0,0
ENST00000618181.5,0,0,0,0,0,0
ENST00000618779.5,0,0,0,0,0,0
ENST00000622503.5,0,0,16,18,0,101
ENST00000341065.8,0,0,0,13,442,231
ENST00000455979.1,0,0,51,137,212,558
ENST00000478729.1,0,0,0,0,1,1
MSTRG.29.14,0,0,0,3,1308,623
ENST00000474461.1,0,0,2,2,28,46
ENST00000466827.1,0,0,7,2,59,109
ENST00000487214.1,0,0,0,0,3,0
ENST00000338591.8,0,324,43,179,0,193
ENST00000379410.8,0,11,6,51,15,43
ENST00000379407.7,0,0,0,3,0,0
MSTRG.20.2,0,0,0,21,0,9
ENST00000480267.1,0,0,0,1,0,0
ENST00000491024.1,0,0,0,0,0,0
ENST00000433179.4,0,0,0,6,0,0
ENST00000341290.6,0,0,0,0,0,0
ENST00000479361.1,0,0,0,0,0,0
ENST00000694917.1,0,0,0,0,0,0
ENST00000606034.1,0,2,50,25,0,1
ENST00000304952.11,0,28,181,281,0,0
ENST00000481869.1,0,7,297,331,9,20
ENST00000484667.2,0,7,104,94,0,0
ENST00000464948.1,5,0,9,14,85,121
ENST00000327044.7,3352,2370,653,1288,607,1266
ENST00000483767.5,18,10,13,12,8,21
ENST00000477976.5,73,90,316,93,173,287
MSTRG.30.4,3136,2898,631,1045,732,1101
ENST00000496938.1,2,2,4,2,0,5
ENST00000469563.1,5,1,14,4,12,11
MSTRG.18.1,177,9,231,104,165,196
MSTRG.18.3,13,3,54,22,13,327
MSTRG.18.4,32,9,34,0,91,56
ENST00000463212.1,10,5,9,16,2,5
ENST00000466300.1,12,0,3,0,0,2
ENST00000481067.1,1,1,2,1,1,6
ENST00000379409.6,27,53,0,30,0,72
MSTRG.19.1,16,0,80,164,0,0
ENST00000428771.6,4,32,104,283,14,10
ENST00000416774.1,0,0,5,0,0,0
ENST00000606993.1,6,0,12,24,8,18
ENST00000379289.6,0,0,0,0,0,0
ENST00000379290.6,0,0,0,0,0,0
ENST00000506177.1,0,0,0,0,0,0
ENST00000673999.1,0,0,0,0,0,0
ENST00000379288.3,0,0,0,0,0,0
ENST00000460998.1,0,0,4,0,0,0
ENST00000514695.1,0,0,0,0,0,0
ENST00000486379.1,0,0,0,0,0,0
ENST00000379317.1,5,0,0,20,0,8
ENST00000328596.10,0,0,0,0,0,0
ENST00000486728.5,0,0,0,0,0,0
ENST00000379265.5,0,0,0,0,0,0
ENST00000379268.7,28,28,0,34,0,63
ENST00000379325.7,0,0,0,0,0,0
ENST00000467751.5,0,0,0,0,0,0
MSTRG.39.9,0,0,222,0,0,92
ENST00000464905.1,0,0,0,0,0,0
ENST00000434641.5,0,0,0,0,0,0
ENST00000482816.5,0,0,0,0,0,0
ENST00000462097.5,0,0,0,0,0,0
ENST00000442117.5,0,0,0,0,0,0
ENST00000379339.5,107,0,0,0,0,12
ENST00000421241.7,53,48,0,0,61,88
ENST00000465822.5,2,0,6,2,1,0
MSTRG.39.5,202,2,0,326,34,199
ENST00000487177.5,7,98,42,19,0,36
ENST00000477196.5,4,9,71,28,72,0
ENST00000379320.5,1,76,38,12,150,16
ENST00000379319.5,14,6,5,6,13,0
ENST00000473600.1,4,0,5,6,0,0
ENST00000475119.5,2,0,1,0,0,0
ENST00000427787.5,3,0,10,12,9,24
ENST00000472741.5,8,0,2,5,0,3
ENST00000480643.1,7,7,16,17,7,1
ENST00000648183.1,37,7,31,14,57,35
MSTRG.41.1,32,8,100,31,82,43
MSTRG.42.1,3,9,12,14,29,14
ENST00000620552.4,0,1626,0,0,0,0
MSTRG.34.5,0,0,6,1,682,0
ENST00000418300.1,0,0,0,0,0,0
ENST00000688131.1,0,0,21,1,0,36
ENST00000456409.6,0,0,0,58,0,0
ENST00000692821.2,0,0,0,0,0,0
ENST00000702922.1,0,0,0,0,0,0
ENST00000427998.6,0,2,0,0,0,0
ENST00000685011.1,0,2,0,0,10,0
ENST00000692266.1,0,0,0,0,0,0
ENST00000442292.2,0,0,5,7,7,4
ENST00000412397.2,0,16,19,20,0,13
ENST00000433695.1,0,0,0,7,0,0
ENST00000451054.1,0,0,0,0,0,0
MSTRG.34.1,2381,6084,2008,10557,1141,2208
ENST00000379370.7,2586,1652,2339,6326,2034,1965
MSTRG.34.4,1837,317,2622,1286,917,3255
ENST00000652369.1,226,14,170,1028,154,115
ENST00000651234.1,4,16,3,7,0,10
ENST00000469403.1,3,1,4,1,4,1
ENST00000479707.1,1,2,12,8,1,9
ENST00000466223.1,3,2,23,14,1,3
ENST00000478677.1,1,1,5,3,2,1
ENST00000492947.1,5,3,13,25,3,5
ENST00000461111.1,64,39,229,103,45,124
ENST00000394517.7,27,21,0,0,0,0
ENST00000565563.1,6,1,20,7,9,7
ENST00000462849.1,0,6,7,27,1,37
ENST00000478606.1,0,1,6,2,5,9
ENST00000468365.1,0,5,14,9,7,2
ENST00000330388.2,22,27,0,16,18,65
ENST00000486627.1,3,10,4,0,0,6
ENST00000403997.2,0,0,0,13,0,0
ENST00000459994.2,0,1,3,0,3,1
MSTRG.36.1,798,881,724,1423,310,1774
ENST00000360001.12,1999,1749,810,1220,619,311
ENST00000465727.5,26,139,90,0,0,0
ENST00000263741.12,0,276,0,122,584,411
ENST00000494748.1,157,151,210,172,81,331
ENST00000478938.1,148,93,182,58,105,321
MSTRG.37.1,3,3,6,0,11,0
ENST00000379198.5,1507,809,967,1007,1232,1605
MSTRG.35.1,82,267,95,750,53,216
MSTRG.35.3,15,0,0,0,32,0
ENST00000634344.2,0,0,0,0,0,0
ENST00000669836.1,0,0,0,0,0,0
ENST00000450983.1,0,0,0,2,0,0
ENST00000412666.1,0,0,0,0,0,0
ENST00000635159.1,0,0,2,2,0,0
ENST00000431321.2,0,0,0,0,0,0
ENST00000453935.1,0,0,0,0,0,0
ENST00000440163.1,0,0,0,0,0,0
ENST00000437905.2,0,0,0,0,0,0
ENST00000426406.4,0,0,3,3,0,0
ENST00000455464.7,0,0,0,0,0,0
ENST00000514436.1,0,0,0,0,0,0
MSTRG.13.12,0,133,2,235,0,61
MSTRG.13.13,0,0,40,87,0,1295
ENST00000440038.7,0,0,0,0,0,1
ENST00000642074.1,0,0,0,0,0,0
MSTRG.13.19,0,10,12,0,0,157
ENST00000423728.6,0,0,0,0,0,0
ENST00000616311.5,0,3,0,3,0,1
ENST00000599771.6,0,4,95,0,0,22
ENST00000641845.1,0,0,0,0,0,0
MSTRG.13.26,0,0,0,0,14,68
MSTRG.13.27,0,291,0,42,15,25
ENST00000601486.5,0,3,0,0,0,0
ENST00000432964.1,0,0,0,1,0,0
ENST00000641303.1,0,0,0,0,6,0
ENST00000641063.1,0,8,0,0,0,3
ENST00000634833.2,0,0,0,2,0,1
ENST00000417636.2,0,0,0,0,0,0
ENST00000419394.2,0,1,0,0,0,0
ENST00000423796.1,0,0,0,0,0,0
ENST00000450696.1,0,0,0,0,0,0
ENST00000440196.3,0,0,0,0,0,0
ENST00000641296.1,0,0,0,0,0,0
ENST00000357876.6,0,0,1,3,0,0
ENST00000634337.2,0,0,0,0,1,0
ENST00000635509.2,0,0,3,1,1,0
ENST00000648019.1,0,0,0,0,0,0
ENST00000440200.5,0,0,0,0,0,0
ENST00000452176.2,0,0,0,0,0,0
ENST00000621981.1,0,0,0,0,0,0
ENST00000438434.2,0,0,0,0,0,0
ENST00000332831.5,0,0,3,3,0,0
ENST00000441245.5,0,0,1,1,0,0
ENST00000414688.6,0,1,1,1,0,1
ENST00000506640.3,0,215,6,0,7,0
MSTRG.46.24,0,4,12,3,19,216
MSTRG.46.26,0,0,29,5,28,30
ENST00000411249.1,0,1,2,1,0,1
ENST00000655765.1,0,0,0,0,0,0
ENST00000412115.2,0,0,0,0,0,0
ENST00000670700.1,0,5,26,4,10,16
ENST00000657896.1,0,0,0,0,0,0
ENST00000658648.1,0,0,0,0,0,0
ENST00000656571.1,0,0,0,0,0,0
ENST00000665867.1,0,0,0,0,0,59
ENST00000669749.1,0,0,0,0,0,0
ENST00000665719.1,0,0,0,0,0,0
ENST00000666217.1,0,0,0,0,0,0
ENST00000651411.1,0,0,0,0,0,0
ENST00000609830.1,0,0,0,0,0,0
ENST00000443772.2,0,0,0,0,0,0
ENST00000586928.5,0,0,0,0,0,0
ENST00000585745.5,0,0,0,0,0,0
ENST00000590848.5,0,0,0,0,0,0
ENST00000587530.5,0,0,0,0,0,0
ENST00000591440.5,0,0,0,0,0,0
ENST00000593022.5,0,0,0,0,0,0
ENST00000589531.5,0,0,0,0,0,0
ENST00000588951.5,0,0,0,0,0,0
ENST00000586288.1,0,0,5,0,15,1
ENST00000447500.4,0,0,5,0,0,8
ENST00000624927.3,0,1,1,0,1,0
ENST00000685334.1,0,0,0,0,0,0
ENST00000670780.1,0,0,0,212,0,22
ENST00000659124.2,0,0,0,126,0,0
ENST00000688309.1,0,0,0,114,0,0
MSTRG.63.8,0,0,429,1,0,119
ENST00000666741.2,0,0,0,0,0,0
ENST00000688008.2,0,0,0,0,21,0
ENST00000685764.2,0,63,0,0,0,0
ENST00000623070.5,0,0,0,0,0,0
MSTRG.63.17,0,0,0,28,0,0
ENST00000608189.6,0,0,0,24,0,8
ENST00000448975.6,0,0,0,0,0,0
ENST00000449005.7,0,0,0,0,0,0
ENST00000661237.3,0,0,0,0,0,0
ENST00000686238.1,0,0,6,0,0,0
ENST00000685566.1,0,0,0,0,0,0
ENST00000441765.6,0,0,0,5,0,0
ENST00000609009.6,0,0,0,0,0,30
ENST00000609139.7,0,0,0,0,0,0
ENST00000701598.1,0,0,17,0,0,0
ENST00000657837.1,0,0,0,0,0,0
ENST00000701768.1,0,0,0,0,0,0
ENST00000691316.1,0,54,0,0,0,0
ENST00000692194.1,0,0,0,0,0,0
ENST00000702273.1,0,0,0,0,0,0
ENST00000702098.1,0,0,0,0,0,0
ENST00000702557.1,0,0,0,0,0,0
ENST00000691234.2,0,0,0,0,0,0
ENST00000657175.1,0,0,0,0,0,0
ENST00000660797.1,0,4,0,0,3,0
ENST00000415295.1,0,0,0,0,0,0
ENST00000688420.1,0,0,0,0,0,0
ENST00000442116.1,14,27,20,43,19,0
ENST00000448958.2,4,0,1,11,0,0
ENST00000441866.2,1,0,3,15,0,7
ENST00000450734.1,14,5,10,2,23,20
ENST00000424587.7,4,8,14,7,7,14
ENST00000458203.2,6,8,7,7,8,8
ENST00000455207.5,2,0,0,3,0,0
MSTRG.13.5,10,4,38,3,103,61
ENST00000601814.5,3,4,11,4,2,8
ENST00000445840.2,2,1,1,2,1,1
ENST00000431812.1,1,2,3,2,4,3
ENST00000432723.3,20,15,50,21,33,33
MSTRG.13.10,711,1127,919,690,1151,2187
MSTRG.13.14,54,158,440,44,658,298
ENST00000419160.4,5,6,15,6,9,16
MSTRG.13.17,140,105,2,1,33,32
MSTRG.13.22,35,0,22,9,18,113
MSTRG.13.23,72,11,0,0,8,33
ENST00000641916.1,5,1,15,0,2,68
MSTRG.13.28,1,6,2,9,74,10
ENST00000641579.1,2,1,15,0,0,19
ENST00000616947.2,23,17,60,2,12,0
ENST00000608420.1,1,1,0,0,1,1
ENST00000641049.1,1,0,0,0,0,0
ENST00000642124.1,19,24,2,1,30,64
ENST00000614007.1,2,2,1,2,2,6
MSTRG.8.1,35,58,32,30,64,206
MSTRG.46.9,23,190,141,90,36,144
ENST00000416931.1,184,297,68,109,61,103
ENST00000457540.1,7814,8385,2503,5522,3654,4636
ENST00000414273.1,66204,62877,37316,84129,45492,80860
ENST00000427426.1,264,351,88,170,94,143
ENST00000467115.1,828,1718,411,790,312,45
ENST00000514057.1,1915,2340,671,1042,803,1918
ENST00000416718.2,731,642,126,514,330,49
MSTRG.46.14,166,85,74,17,77,333
ENST00000636676.1,1,1,1,1,1,1
ENST00000447954.2,1,2,3,1,4,2
ENST00000440782.3,17,15,54,14,29,30
MSTRG.46.18,237,514,544,569,680,1334
MSTRG.46.20,138,264,332,224,143,477
MSTRG.46.21,66,121,185,138,161,334
MSTRG.46.22,149,21,72,36,35,103
MSTRG.46.23,63,56,304,48,67,332
MSTRG.46.25,257,326,39,44,702,358
MSTRG.57.1,18,34,39,13,56,79
MSTRG.46.27,17,0,12,0,12,244
MSTRG.58.1,9,10,7,0,1,16
MSTRG.46.28,105,147,307,134,310,361
ENST00000422528.1,1,4,17,2,7,7
ENST00000428504.2,1,1,1,0,0,0
ENST00000692781.2,8,6,4,12,15,17
ENST00000429505.6,8,17,50,19,13,0
ENST00000434264.6,6,17,37,20,10,0
ENST00000457084.1,5,5,12,5,3,25
ENST00000589899.5,6,23,33,7,8,29
ENST00000644482.1,1,1,4,5,2,2
ENST00000585826.1,4,3,3,3,6,1
ENST00000585768.5,1,3,9,2,0,1
ENST00000591702.1,46,85,88,44,45,31
ENST00000655384.1,4,0,0,0,0,0
ENST00000667728.1,8,8,0,15,15,8
ENST00000590817.3,2,1,1,4,1,1
MSTRG.46.33,1,1,3,8,1,0
ENST00000326734.2,8,8,72,21,40,31
ENST00000473798.2,50,59,177,103,65,225
ENST00000623808.4,5,0,1,0,0,0
ENST00000445118.7,78,77,305,460,16,0
ENST00000669922.1,61,40,230,120,107,57
MSTRG.63.7,111,66,378,474,136,0
ENST00000610067.7,12,12,75,63,23,26
ENST00000658846.2,82,0,18,19,0,0
ENST00000667414.1,17,6,61,38,24,34
ENST00000685879.2,3,3,5,1,7,4
ENST00000416570.6,6,22,46,22,0,42
ENST00000668541.1,58,0,3,2,0,0
ENST00000702847.1,9,0,1,1,0,0
ENST00000622921.1,1,0,0,0,0,0
ENST00000670824.1,2,0,4,2,4,2
MSTRG.63.47,28,0,254,15,10,36
ENST00000425657.1,2,2,5,8,3,23
ENST00000434139.1,0,0,3,0,0,2
ENST00000453732.1,0,5,2,0,0,0
MSTRG.44.5,0,66,47,75,0,63
ENST00000379101.8,0,0,0,0,0,0
ENST00000470022.1,0,0,0,0,0,0
MSTRG.44.11,0,2,25,0,0,0
ENST00000325425.12,0,0,0,4,0,0
ENST00000467651.2,0,1,0,0,0,0
ENST00000379099.3,0,0,0,5,0,0
MSTRG.44.1,7,11,31,27,11,40
MSTRG.44.4,3,1,0,13,0,1
MSTRG.45.1,13,9,32,17,0,14
ENST00000379116.10,3,0,30,23,0,0
ENST00000338555.6,40,11,65,83,33,143
ENST00000400928.7,1,0,24,0,0,0
ENST00000400929.6,0,9,18,0,25,14
ENST00000491779.5,0,0,0,0,0,0
ENST00000422076.5,0,1,0,0,0,0
ENST00000450390.6,14,7,13,5,16,21
ENST00000349431.11,1814,1420,696,1164,943,1309
ENST00000347370.6,358,14,24,102,235,8
MSTRG.43.5,293,85,165,59,182,343
ENST00000464036.5,71,0,18,0,46,53
ENST00000360466.6,13,40,0,0,11,9
ENST00000400930.8,2,38,12,3,7,4
ENST00000467339.1,18,11,30,45,11,56
ENST00000473215.5,1,0,0,4,3,0
ENST00000435198.5,4,6,0,0,0,0
ENST00000509720.5,1,0,0,0,0,0
ENST00000466752.5,13,0,0,0,0,0
ENST00000503294.5,1,0,0,0,9,0
ENST00000477894.5,12,7,17,12,23,33
ENST00000471154.1,1,7,4,1,13,14
ENST00000502382.1,20,2,18,6,10,11
ENST00000461142.3,14,13,49,8,44,28
ENST00000488418.2,3,1,0,0,55,9
ENST00000492936.5,0,29,800,206,0,0
ENST00000353662.4,0,0,393,0,0,0
ENST00000613751.1,0,0,2,0,0,0
ENST00000438966.1,0,0,0,0,0,0
ENST00000545578.5,0,37,145,0,0,0
ENST00000620829.4,0,0,0,0,0,0
ENST00000458452.7,0,0,0,0,0,0
ENST00000450926.6,0,0,0,0,0,0
ENST00000527098.5,0,41,52,0,0,0
ENST00000531377.5,0,0,0,0,0,2
ENST00000527383.5,0,1,0,0,0,1
ENST00000434694.6,0,0,0,0,0,0
ENST00000526332.5,0,0,0,0,0,0
ENST00000527719.5,0,5,0,0,0,4
ENST00000530031.5,0,3,2,0,0,3
ENST00000444968.1,0,0,0,0,0,0
ENST00000493534.6,0,0,0,0,0,0
ENST00000532952.5,0,2,0,0,0,0
ENST00000531019.5,0,0,0,0,0,0
ENST00000498476.6,0,7,0,0,0,0
ENST00000470679.3,0,0,0,0,0,0
ENST00000525285.1,0,0,4,0,0,0
ENST00000530233.1,0,11,88,16,51,20
ENST00000464957.1,0,37,68,56,25,32
MSTRG.84.1,11,5,116,60,0,8
ENST00000354700.10,648,498,491,1242,368,469
ENST00000467278.5,51,96,367,107,190,57
ENST00000470659.1,1,1,12,2,2,2
ENST00000379037.6,6,4,0,4,3,11
ENST00000476572.1,2,0,2,2,3,1
ENST00000493992.1,2,5,25,4,0,6
ENST00000472541.5,27,0,200,44,25,27
ENST00000354980.7,1,3,20,0,4,3
ENST00000478065.5,91,25,462,81,113,129
ENST00000479108.5,1,1,1,1,1,1
MSTRG.85.1,384,309,29,0,0,150
ENST00000379031.10,832,630,75,0,74,285
ENST00000470520.5,5,3,9,0,0,0
ENST00000463758.1,33,21,16,33,39,11
ENST00000467712.1,10,3,2,144,71,4
ENST00000706601.1,3,4,5,6,12,2
ENST00000493657.1,43,32,42,0,30,36
ENST00000706602.1,23,8,42,134,31,9
ENST00000540437.5,39,3,5,17,3,31
MSTRG.86.1,18,807,0,0,0,733
ENST00000470030.6,12,14,35,68,17,28
ENST00000497304.6,3,19,7,13,37,8
ENST00000435064.6,2034,1713,239,1049,295,662
ENST00000323275.10,17,0,0,0,33,85
ENST00000411962.5,1,0,0,0,0,0
MSTRG.86.10,1094,926,1171,899,822,1532
ENST00000462432.5,0,0,0,0,0,0
ENST00000478641.5,252,72,302,248,186,181
ENST00000419704.5,5,23,10,11,0,15
ENST00000421495.6,1,7,4,27,4,24
ENST00000532772.5,4,0,0,0,0,0
MSTRG.86.17,46,0,0,0,70,113
ENST00000485710.5,118,56,62,46,5,12
ENST00000461514.6,8,6,9,10,7,9
ENST00000525164.5,19,4,16,7,30,23
ENST00000528879.5,23,0,0,0,34,74
ENST00000525769.5,61,40,3,6,3,2
ENST00000620702.1,1,1,1,1,1,1
MSTRG.86.26,1,2,0,0,31,49
ENST00000531292.5,3,1,5,1,2,1
ENST00000467408.6,2,4,1,2,1,2
ENST00000531020.1,2,1,1,1,1,1
ENST00000533916.5,3,2,4,5,1,16
ENST00000488042.6,15,3,6,9,21,7
ENST00000526797.5,6,0,0,0,0,1
ENST00000430786.5,2,0,0,0,0,0
ENST00000526113.1,1,0,1,0,0,0
ENST00000526904.5,3,8,13,14,13,10
ENST00000525603.1,1,1,2,1,1,1
ENST00000429572.5,16,7,4,16,8,9
ENST00000498173.2,23,21,28,42,15,34
ENST00000496353.1,261,43,79,58,85,77
ENST00000534345.5,2,1,1,1,1,0
ENST00000490853.5,3,1,0,0,2,0
ENST00000343938.9,607,366,288,563,348,456
ENST00000488011.1,9,8,43,14,9,20
ENST00000342753.8,0,0,0,175,0,10
MSTRG.66.2,0,7,201,1271,72,52
ENST00000309212.11,0,0,160,609,54,39
ENST00000445648.5,0,0,0,0,0,0
ENST00000496905.1,0,1,0,0,0,1
ENST00000435351.2,0,0,8,7,4,4
ENST00000480479.5,0,1,88,710,11,59
MSTRG.76.4,0,0,825,763,275,53
ENST00000481223.6,0,0,54,0,218,0
ENST00000492998.5,0,1,5,31,0,5
ENST00000469113.5,0,0,2,6,2,3
ENST00000425598.2,0,1,4,8,0,2
ENST00000702056.1,0,10,0,0,0,0
ENST00000447725.2,0,0,0,0,0,0
ENST00000702620.1,0,38,0,0,0,0
ENST00000453521.1,0,0,0,0,0,0
ENST00000477686.1,0,1,1,0,0,0
MSTRG.69.1,0,3,0,0,18,0
ENST00000427211.3,0,0,0,114,0,0
ENST00000520296.5,0,0,0,132,0,0
ENST00000454272.2,0,0,0,0,0,0
ENST00000442470.1,0,7,0,3,0,0
ENST00000454562.1,0,2,42,0,21,0
ENST00000417917.1,0,0,0,7,0,0
ENST00000475091.2,0,0,0,0,0,0
MSTRG.88.4,0,431,16,0,0,493
ENST00000308647.8,0,0,0,0,0,0
ENST00000641679.1,0,0,0,0,0,0
MSTRG.89.3,0,9,9,12,3,10
ENST00000692936.1,0,0,1,0,3,0
ENST00000378755.9,0,0,18,17,0,0
ENST00000339113.9,0,1,5,7,2,2
ENST00000621860.1,0,0,0,0,0,0
MSTRG.83.2,0,38,0,0,0,0
ENST00000520777.6,0,0,75,0,157,0
ENST00000487053.5,0,0,0,0,31,0
ENST00000378712.5,0,0,0,0,0,0
ENST00000463492.1,0,3,0,0,0,7
ENST00000503789.5,0,0,0,0,0,0
ENST00000378708.5,0,0,0,0,0,0
ENST00000506488.5,0,6,22,17,7,64
ENST00000514234.5,0,0,0,0,0,0
ENST00000486072.1,0,0,0,0,0,0
ENST00000483015.1,0,3,21,16,9,12
ENST00000511910.1,0,0,0,0,0,0
ENST00000339381.6,18,21,107,47,31,56
ENST00000378891.9,915,684,485,591,248,761
MSTRG.65.2,1135,847,2,611,728,826
ENST00000378888.10,676,689,353,444,190,686
ENST00000632445.1,8,4,0,7,3,4
ENST00000631679.1,4,2,0,3,2,3
ENST00000634054.1,3,2,13,5,0,8
ENST00000633096.1,1,1,3,1,1,3
ENST00000616525.1,1,1,1,0,1,1
ENST00000472445.1,7,10,31,16,1,36
MSTRG.66.1,184,159,705,1930,380,998
ENST00000474033.5,11,8,3,11,3,6
ENST00000477278.3,2,3,36,291,5,57
ENST00000473097.5,1,2,4,70,2,5
ENST00000478517.5,1,1,3,6,2,4
ENST00000476718.1,12,19,15,15,12,27
ENST00000464351.1,2,2,7,6,3,2
ENST00000460473.1,1,1,4,42,3,2
MSTRG.67.1,1,2,23,39,27,44
ENST00000338370.7,1147,586,405,234,455,731
ENST00000321751.9,467,548,30,132,178,422
ENST00000338338.10,1477,1103,264,763,467,897
ENST00000378853.3,1410,1665,292,595,626,754
ENST00000489799.1,52,15,8,2,15,24
MSTRG.76.1,2156,1884,6526,2800,4175,5244
ENST00000400809.8,583,395,115,0,400,835
ENST00000482621.5,3,2,12,376,37,16
ENST00000463260.5,31,36,59,46,50,64
ENST00000496007.5,12,26,0,79,17,38
ENST00000482365.5,1,0,801,0,0,0
ENST00000418865.6,32,37,30,188,31,32
ENST00000505849.5,6,5,20,127,0,102
ENST00000488340.5,177,30,0,0,54,0
ENST00000480646.1,18,5,20,9,17,32
ENST00000471930.5,3,2,10,3,5,4
ENST00000408918.8,15,3,98,74,39,96
ENST00000473872.5,61,44,105,52,95,239
ENST00000463895.1,28,25,62,50,51,111
ENST00000497013.1,1,1,12,9,9,6
ENST00000444362.3,119,28,10,11,0,142
ENST00000448629.8,117,101,159,39,91,0
ENST00000572242.2,203,213,68,145,166,257
ENST00000659048.2,225,215,87,361,166,96
ENST00000685968.1,52,12,0,0,54,75
ENST00000418833.2,146,127,81,152,121,160
ENST00000689419.2,24,43,0,0,35,0
ENST00000690954.1,22,3,0,0,0,22
ENST00000576232.2,26,43,23,3,0,58
ENST00000570344.1,1,1,1,1,2,0
ENST00000344843.12,1561,1244,280,658,727,725
ENST00000487659.1,855,553,342,286,422,636
ENST00000493287.5,8,16,3,0,0,7
ENST00000492508.1,184,144,84,51,117,142
ENST00000482352.1,108,104,213,200,167,348
ENST00000582431.2,1,1,1,1,6,2
ENST00000607307.1,247,283,118,204,192,415
MSTRG.70.1,16,16,0,98,0,0
ENST00000537107.6,3,29,50,55,19,92
ENST00000428932.1,4,6,0,21,0,15
ENST00000378821.4,173,65,87,114,38,153
ENST00000430109.1,28,7,9,18,9,0
ENST00000434150.1,15,17,13,15,3,25
MSTRG.73.2,2,44,0,0,0,39
MSTRG.73.5,4,17,0,58,0,106
ENST00000495558.1,13,14,0,10,0,15
ENST00000338660.5,24,0,11,113,5,71
ENST00000476993.2,1878,683,436,1359,295,929
ENST00000471398.1,5,0,2,7,3,7
ENST00000378785.7,74,55,39,15,40,45
MSTRG.75.1,1,0,0,29,0,2
